Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0200,8.30,1033.27,5307.24
0.0400,15.21,563.60,5307.24
0.0500,16.60,516.63,5401.17
0.0600,26.08,328.77,10520.55
0.2400,8.30,1033.27,5260.27
0.2500,8.30,1033.27,5166.34
0.2600,8.69,986.30,5025.44
0.2700,9.61,892.37,4884.54
0.2800,12.17,704.50,4978.47
0.3100,26.08,328.77,5166.34
0.3200,18.26,469.67,5166.34
0.3300,13.04,657.53,5213.31
0.3400,15.21,563.60,5213.31
0.3800,9.61,892.37,5307.24
0.3900,9.61,892.37,3992.17
0.4000,10.74,798.43,5354.21
0.4100,16.60,516.63,5307.24
0.4200,14.04,610.57,5354.21
0.4300,16.60,516.63,5354.21
0.4500,8.69,986.30,5448.14
0.4700,7.30,1174.17,5401.17
0.5000,7.30,1174.17,5072.41
0.5100,7.61,1127.20,5166.34
0.5200,7.30,1174.17,5260.27
0.6000,7.61,1127.20,5307.24
0.6100,22.82,375.73,5260.27
0.6400,9.13,939.33,5307.24
0.6500,9.13,939.33,5213.31
0.6600,8.30,1033.27,5166.34
0.6700,9.13,939.33,5166.34
0.6800,10.14,845.40,5213.31
0.6900,7.30,1174.17,5307.24
0.7000,9.13,939.33,5213.31
0.7200,60.86,140.90,5166.34
0.8200,26.08,328.77,2630.14
1.0100,36.52,234.83,2583.17
1.0200,16.60,516.63,2677.10
1.1500,22.82,375.73,12493.15
1.1600,36.52,234.83,21557.73
1.1900,30.43,281.80,17189.82
1.2100,30.43,281.80,21651.66
1.2200,26.08,328.77,17142.86
1.2300,18.26,469.67,17236.79
1.2400,22.82,375.73,16908.02
1.2500,91.29,93.93,17048.92
1.2600,30.43,281.80,8360.08
1.4700,45.64,187.87,16908.02
1.4800,22.82,375.73,21698.63
1.4900,20.29,422.70,17048.92
1.5000,20.29,422.70,17236.79
1.5100,20.29,422.70,17189.82
1.5200,18.26,469.67,17095.89
1.5300,18.26,469.67,17283.76
1.5400,16.60,516.63,17330.72
1.5500,16.60,516.63,17283.76
1.5600,15.21,563.60,12774.95
1.5700,15.21,563.60,12681.02
1.5800,15.21,563.60,16954.99
1.6000,14.04,610.57,19209.39
1.6200,12.17,704.50,19303.33
1.6300,11.41,751.47,19256.36
1.7100,13.04,657.53,21651.66
1.7200,18.26,469.67,21604.70
1.9100,15.21,563.60,2630.14
1.9200,11.41,751.47,2630.14
1.9300,10.14,845.40,2583.17
1.9400,8.30,1033.27,10003.91
1.9500,8.69,986.30,2911.94
1.9600,10.14,845.40,2771.04
1.9700,10.74,798.43,2724.07
1.9800,12.17,704.50,8219.18
1.9900,14.04,610.57,12540.12
2.0000,16.60,516.63,2583.17
2.0100,20.29,422.70,2771.04
2.0500,22.82,375.73,2536.20
2.0600,26.08,328.77,2489.24
2.0900,36.52,234.83,21604.70
2.1000,45.64,187.87,21416.83
2.1300,45.64,187.87,21322.90
2.3200,45.64,187.87,4649.71
2.4100,30.43,281.80,16438.36
