Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,8.30,1033.27,4086.11
0.0100,10.14,845.40,4320.94
0.0200,9.13,939.33,4555.77
0.0300,12.17,704.50,5917.81
0.0400,30.43,281.80,6998.04
0.1000,10.14,845.40,6105.68
0.1100,12.17,704.50,10943.25
0.2000,18.26,469.67,4086.11
0.2800,13.04,657.53,4837.57
0.4000,10.14,845.40,4320.94
0.4100,7.30,1174.17,7796.48
0.4300,10.14,845.40,10567.51
0.4900,14.04,610.57,12727.98
0.5000,9.13,939.33,4743.64
0.5400,12.17,704.50,8172.21
0.6600,18.26,469.67,6246.58
0.6700,18.26,469.67,6998.04
0.6800,16.60,516.63,7561.64
0.6900,16.60,516.63,7702.54
0.7000,16.60,516.63,12587.08
0.7100,16.60,516.63,12727.98
0.7200,16.60,516.63,7890.41
0.7300,16.60,516.63,7984.34
0.7400,16.60,516.63,7420.74
0.7500,18.26,469.67,7279.84
0.7700,45.64,187.87,7326.81
0.7800,45.64,187.87,11976.52
0.9000,26.08,328.77,6105.68
1.0500,30.43,281.80,6293.54
1.0600,22.82,375.73,6293.54
1.0700,20.29,422.70,6387.48
1.0800,22.82,375.73,6575.34
1.3000,45.64,187.87,4696.67
1.6300,13.04,657.53,16485.32
1.6400,13.04,657.53,12774.95
1.6500,12.17,704.50,17001.96
1.7100,15.21,563.60,2442.27
1.9200,16.60,516.63,19115.46
1.9400,18.26,469.67,17048.92
1.9500,18.26,469.67,21604.70
1.9600,18.26,469.67,16954.99
1.9700,18.26,469.67,21604.70
1.9800,22.82,375.73,8688.85
1.9900,22.82,375.73,8782.78
2.0000,26.08,328.77,8360.08
2.0100,26.08,328.77,2395.30
2.0200,60.86,140.90,8172.21
2.1600,22.82,375.73,2630.14
2.1700,22.82,375.73,17236.79
2.1800,30.43,281.80,17189.82
2.4300,45.64,187.87,12868.88
2.4400,30.43,281.80,17236.79
2.4500,36.52,234.83,21651.66
2.6800,60.86,140.90,17142.86
2.6900,45.64,187.87,17236.79
2.7000,45.64,187.87,17236.79
2.8200,26.08,328.77,4227.01
2.8300,20.29,422.70,17142.86
2.8400,20.29,422.70,17048.92
2.8500,20.29,422.70,17189.82
2.8600,22.82,375.73,13103.72
2.8700,22.82,375.73,13197.65
2.8800,26.08,328.77,12868.88
2.8900,30.43,281.80,17236.79
2.9000,30.43,281.80,12681.02
2.9100,30.43,281.80,16814.09
2.9200,30.43,281.80,21651.66
2.9300,30.43,281.80,21275.93
2.9600,26.08,328.77,21604.70
3.0000,30.43,281.80,2395.30
3.3900,36.52,234.83,8454.01
3.4200,60.86,140.90,12681.02
3.5200,91.29,93.93,5495.11
3.5300,45.64,187.87,5260.27
3.5400,60.86,140.90,21698.63
3.7900,7.94,1080.23,4227.01
3.8100,10.14,845.40,10896.28
3.8700,9.13,939.33,4273.97
3.8900,12.17,704.50,11131.12
3.9600,12.17,704.50,10379.65
4.0000,13.04,657.53,4227.01
4.0100,22.82,375.73,8735.81
4.0200,12.17,704.50,8594.91
4.0300,14.04,610.57,7655.58
4.1300,14.04,610.57,10520.55
