Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,8.69,986.30,5401.17
0.1000,11.41,751.47,5823.87
0.1100,9.13,939.33,5917.81
0.1200,7.61,1127.20,5823.87
0.1300,7.94,1080.23,6058.71
0.2200,91.29,93.93,6058.71
0.2600,14.04,610.57,4931.51
0.2700,8.69,986.30,8735.81
0.2800,10.14,845.40,8735.81
0.2900,16.60,516.63,8735.81
0.6200,30.43,281.80,17095.89
0.6900,45.64,187.87,12774.95
0.7000,30.43,281.80,12821.92
0.7900,7.30,1174.17,21369.86
0.8100,7.61,1127.20,18974.56
0.8200,7.30,1174.17,19350.29
0.8300,7.61,1127.20,19068.49
0.8500,7.94,1080.23,19209.39
0.8600,8.30,1033.27,10520.55
0.8700,9.61,892.37,10520.55
0.8800,11.41,751.47,10379.65
0.8900,13.04,657.53,14935.42
0.9000,16.60,516.63,19444.23
1.0600,91.29,93.93,17001.96
1.0700,45.64,187.87,16908.02
1.0800,45.64,187.87,21698.63
1.0900,36.52,234.83,17095.89
1.2600,14.04,610.57,7279.84
1.2700,10.74,798.43,7279.84
1.3200,7.94,1080.23,7326.81
1.3300,9.61,892.37,7279.84
1.3500,22.82,375.73,6528.38
1.3600,16.60,516.63,4227.01
1.3700,16.60,516.63,4133.07
1.3800,16.60,516.63,4180.04
1.3900,15.21,563.60,4273.97
1.4100,60.86,140.90,4367.91
1.4300,22.82,375.73,4978.47
1.4400,22.82,375.73,4227.01
1.4500,45.64,187.87,4602.74
1.5600,7.61,1127.20,7091.98
1.5700,7.61,1127.20,7185.91
1.6200,11.41,751.47,6763.21
1.6300,10.14,845.40,6011.74
1.6600,18.26,469.67,1784.74
1.7500,7.61,1127.20,19303.33
1.7600,7.61,1127.20,19162.43
1.7700,7.30,1174.17,19162.43
1.7800,7.30,1174.17,19350.29
1.7900,7.30,1174.17,15029.35
1.8000,7.30,1174.17,10614.48
1.8100,7.61,1127.20,6293.54
1.8200,12.17,704.50,6058.71
1.8400,26.08,328.77,15029.35
1.8500,9.13,939.33,19303.33
1.8600,8.30,1033.27,19256.36
1.9300,9.13,939.33,15311.15
1.9800,15.21,563.60,10426.61
2.0500,16.60,516.63,1643.84
2.0700,7.61,1127.20,8031.31
2.0800,30.43,281.80,8547.95
2.1400,36.52,234.83,21604.70
2.1500,26.08,328.77,21416.83
2.2300,7.30,1174.17,6622.31
2.3600,8.69,986.30,11835.62
2.4100,8.69,986.30,14606.65
2.4200,8.30,1033.27,10332.68
2.4900,7.61,1127.20,10849.32
2.5200,16.60,516.63,21182.00
2.5500,26.08,328.77,21416.83
2.5600,45.64,187.87,16720.16
2.5700,36.52,234.83,12399.22
2.5800,45.64,187.87,21604.70
2.5900,30.43,281.80,17001.96
2.6000,30.43,281.80,12727.98
2.6100,91.29,93.93,17189.82
2.6600,36.52,234.83,17048.92
2.6700,36.52,234.83,17189.82
2.6900,60.86,140.90,17189.82
2.8200,7.61,1127.20,11365.95
2.8500,45.64,187.87,21041.10
2.8600,45.64,187.87,21041.10
2.8700,60.86,140.90,21510.76
2.8800,30.43,281.80,21463.80
2.8900,22.82,375.73,14888.45
2.9000,22.82,375.73,6199.61
2.9100,30.43,281.80,6293.54
3.0000,20.29,422.70,6810.18
3.0100,30.43,281.80,1596.87
3.0200,30.43,281.80,1831.70
3.0400,45.64,187.87,17048.92
3.0500,36.52,234.83,17189.82
3.0600,36.52,234.83,12634.05
3.0700,36.52,234.83,12587.08
3.0800,36.52,234.83,17048.92
3.0900,36.52,234.83,21698.63
3.1000,30.43,281.80,21698.63
3.1100,45.64,187.87,12868.88
3.1600,30.43,281.80,17283.76
3.1700,30.43,281.80,17283.76
3.1900,26.08,328.77,8313.11
3.2000,30.43,281.80,21651.66
3.3200,45.64,187.87,21651.66
3.4400,8.69,986.30,5917.81
3.4700,7.61,1127.20,5260.27
3.5500,91.29,93.93,4743.64
3.6400,36.52,234.83,5307.24
3.6500,30.43,281.80,11600.78
3.6600,36.52,234.83,21510.76
3.6800,36.52,234.83,21604.70
3.6900,91.29,93.93,17001.96
3.7700,60.86,140.90,21510.76
3.7800,45.64,187.87,21651.66
3.8100,36.52,234.83,21604.70
3.8300,7.94,1080.23,21557.73
3.8400,7.94,1080.23,21369.86
3.8600,9.13,939.33,5964.77
4.0600,7.30,1174.17,6528.38
4.1100,7.30,1174.17,6293.54
4.1200,8.30,1033.27,6528.38
4.1900,36.52,234.83,17001.96
4.2000,36.52,234.83,21651.66
4.2600,45.64,187.87,17001.96
4.2700,36.52,234.83,21369.86
4.2800,36.52,234.83,21698.63
4.3600,36.52,234.83,3804.31
4.3700,36.52,234.83,4227.01
4.3800,36.52,234.83,4320.94
4.5400,30.43,281.80,5682.97
4.5500,30.43,281.80,5870.84
4.5600,36.52,234.83,5072.41
4.5700,36.52,234.83,5354.21
4.5800,22.82,375.73,5401.17
4.5900,20.29,422.70,5823.87
4.6000,20.29,422.70,5964.77
