Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,9.78,876.71,2661.45
0.1300,24.90,344.42,2911.94
0.1900,15.21,563.60,2849.32
0.2100,13.04,657.53,2849.32
0.2200,10.95,782.78,2661.45
0.2600,19.56,438.36,2661.45
0.2700,10.95,782.78,2661.45
0.2800,10.14,845.40,2786.69
0.2900,10.53,814.09,2880.63
0.3000,27.39,313.11,2755.38
0.3200,27.39,313.11,2724.07
0.3300,13.04,657.53,2724.07
0.3400,10.14,845.40,6857.14
0.3500,9.78,876.71,8422.70
0.3600,13.04,657.53,8735.81
0.3700,30.43,281.80,8954.99
0.4300,11.91,720.16,10207.44
0.5000,16.11,532.29,2598.83
0.5400,54.77,156.56,6262.23
0.6000,39.12,219.18,6637.96
0.7100,91.29,93.93,11428.57
0.7200,54.77,156.56,14309.20
0.7300,39.12,219.18,6951.08
0.7500,22.82,375.73,12837.57
0.7600,21.07,407.05,6544.03
0.7700,19.56,438.36,14434.44
0.7800,18.26,469.67,11365.95
0.7900,18.26,469.67,14403.13
0.8400,16.11,532.29,14090.02
1.0100,27.39,313.11,3287.67
1.0200,27.39,313.11,3225.05
1.1000,54.77,156.56,3162.43
1.1300,54.77,156.56,2943.25
1.2200,91.29,93.93,2129.16
1.2300,45.64,187.87,8641.88
1.2400,45.64,187.87,8516.63
1.2500,39.12,219.18,5636.01
1.2600,39.12,219.18,11491.19
1.5100,54.77,156.56,14371.82
1.5200,54.77,156.56,14403.13
1.5300,39.12,219.18,14434.44
1.5400,45.64,187.87,14434.44
1.5500,45.64,187.87,14434.44
1.5600,45.64,187.87,11365.95
1.7800,27.39,313.11,4915.85
1.7900,27.39,313.11,4821.92
1.8100,24.90,344.42,9581.21
1.8200,24.90,344.42,3882.58
1.8300,24.90,344.42,3569.47
1.8400,30.43,281.80,3318.98
2.0800,7.82,1095.89,9769.08
2.0900,8.56,1001.96,5667.32
2.1000,8.56,1001.96,5260.27
2.1300,7.82,1095.89,11084.15
2.2200,34.23,250.49,14403.13
2.2300,27.39,313.11,5698.63
2.2400,22.82,375.73,6136.99
2.2500,21.07,407.05,6293.54
2.2600,27.39,313.11,6324.85
2.2700,54.77,156.56,6387.48
2.4200,54.77,156.56,5166.34
2.4300,21.07,407.05,2974.56
2.4400,21.07,407.05,3318.98
2.4600,21.07,407.05,11178.08
2.5600,14.41,594.91,8234.83
2.5700,13.69,626.22,11365.95
2.5800,13.04,657.53,14403.13
2.5900,14.41,594.91,11303.33
2.6000,16.11,532.29,5416.83
2.6100,17.12,500.98,8516.63
2.6200,21.07,407.05,8172.21
2.7200,21.07,407.05,4133.07
2.7300,21.07,407.05,4164.38
2.7400,27.39,313.11,4133.07
2.7500,30.43,281.80,4289.63
2.7600,19.56,438.36,4039.14
2.7800,22.82,375.73,6794.52
2.7900,18.26,469.67,7201.57
2.8000,18.26,469.67,3318.98
2.8100,21.07,407.05,3569.47
2.8200,21.07,407.05,3381.60
2.8300,21.07,407.05,3412.92
2.8400,22.82,375.73,3600.78
2.8500,22.82,375.73,3788.65
2.8600,22.82,375.73,2911.94
2.8800,27.39,313.11,2567.51
2.8900,30.43,281.80,2536.20
2.9000,39.12,219.18,5573.39
3.0900,24.90,344.42,2254.40
3.1000,24.90,344.42,2223.09
3.1100,22.82,375.73,2317.03
3.1200,30.43,281.80,2504.89
3.1300,34.23,250.49,2442.27
3.1500,68.47,125.24,2630.14
3.1600,68.47,125.24,2598.83
3.3800,19.56,438.36,6982.39
3.4200,15.21,563.60,6105.68
3.4300,16.11,532.29,2630.14
3.4400,17.12,500.98,2661.45
3.4500,24.90,344.42,2598.83
3.4600,34.23,250.49,2348.34
3.4700,18.26,469.67,5135.03
3.5700,54.77,156.56,6074.36
3.5800,39.12,219.18,6168.30
3.7600,16.11,532.29,6951.08
3.7700,15.21,563.60,6544.03
3.7800,10.95,782.78,6637.96
3.7900,13.04,657.53,6857.14
3.9000,11.91,720.16,10050.88
3.9100,14.41,594.91,7921.72
4.0400,19.56,438.36,2661.45
4.0500,19.56,438.36,2724.07
4.0600,45.64,187.87,2786.69
4.0700,54.77,156.56,2849.32
4.0800,18.26,469.67,2724.07
