Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,10.53,814.09,2911.94
0.0400,12.45,688.85,7483.37
0.0500,10.53,814.09,2035.23
0.0600,10.14,845.40,5072.41
0.0700,10.14,845.40,5166.34
0.0800,10.14,845.40,5009.78
0.0900,10.53,814.09,8109.59
0.1000,10.95,782.78,7953.03
0.1100,16.11,532.29,7953.03
0.1900,16.11,532.29,8266.14
0.2000,16.11,532.29,2536.20
0.2100,21.07,407.05,2473.58
0.3100,21.07,407.05,8454.01
0.6200,22.82,375.73,6356.16
0.6300,17.12,500.98,6669.28
0.6400,8.56,1001.96,8454.01
0.6500,7.61,1127.20,8579.26
0.8900,7.61,1127.20,7796.48
0.9200,54.77,156.56,2849.32
0.9300,30.43,281.80,2536.20
0.9400,34.23,250.49,8328.77
0.9500,39.12,219.18,8422.70
0.9600,39.12,219.18,11522.50
0.9700,45.64,187.87,11428.57
1.1000,39.12,219.18,8234.83
1.1100,39.12,219.18,8673.19
1.1200,30.43,281.80,8829.75
1.1300,27.39,313.11,8422.70
1.1400,27.39,313.11,11428.57
1.1500,30.43,281.80,14434.44
1.1600,30.43,281.80,14403.13
1.1700,30.43,281.80,14340.51
1.1800,30.43,281.80,7389.43
1.1900,22.82,375.73,2849.32
1.2000,24.90,344.42,3162.43
1.2100,30.43,281.80,3256.36
1.2200,27.39,313.11,3256.36
1.2300,45.64,187.87,3099.80
1.3400,54.77,156.56,3412.92
1.3500,34.23,250.49,3256.36
1.3600,30.43,281.80,3193.74
1.3700,34.23,250.49,3318.98
1.3800,39.12,219.18,7921.72
1.3900,39.12,219.18,7765.17
1.4000,34.23,250.49,7859.10
1.4100,34.23,250.49,8266.14
1.4200,39.12,219.18,8422.70
1.4300,45.64,187.87,8673.19
1.4500,54.77,156.56,5166.34
1.4600,39.12,219.18,4853.23
1.5400,68.47,125.24,5479.45
1.5500,27.39,313.11,5009.78
1.5600,27.39,313.11,4884.54
1.5900,9.44,908.02,3444.23
1.6000,8.83,970.65,3444.23
1.6100,7.82,1095.89,3412.92
1.6200,9.13,939.33,3412.92
1.6300,9.13,939.33,3381.60
1.6400,8.30,1033.27,3475.54
1.6500,9.13,939.33,3318.98
1.6900,45.64,187.87,6324.85
1.7100,39.12,219.18,5917.81
1.7200,39.12,219.18,5698.63
1.7800,8.05,1064.58,5291.59
1.8500,34.23,250.49,8172.21
1.8600,27.39,313.11,7796.48
1.8700,30.43,281.80,8140.90
1.8800,30.43,281.80,8078.28
1.8900,34.23,250.49,8109.59
1.9000,30.43,281.80,8266.14
1.9100,30.43,281.80,8641.88
1.9200,34.23,250.49,8923.68
1.9300,34.23,250.49,8829.75
1.9400,34.23,250.49,8109.59
1.9500,34.23,250.49,8266.14
2.0600,91.29,93.93,8829.75
2.0700,39.12,219.18,8704.50
2.0800,39.12,219.18,8673.19
2.0900,39.12,219.18,8547.95
2.1000,30.43,281.80,11585.13
2.1100,27.39,313.11,8328.77
2.1200,30.43,281.80,11491.19
2.1300,27.39,313.11,11397.26
2.1400,27.39,313.11,11459.88
2.1500,30.43,281.80,8641.88
2.1600,45.64,187.87,4414.87
2.1700,54.77,156.56,4759.30
2.2300,9.78,876.71,4853.23
2.3400,18.26,469.67,6387.48
2.3500,18.26,469.67,6512.72
2.3600,18.26,469.67,6356.16
2.3700,19.56,438.36,6136.99
2.3800,19.56,438.36,6043.05
2.3900,18.26,469.67,5949.12
2.4000,18.26,469.67,5917.81
2.4100,22.82,375.73,5917.81
2.4200,45.64,187.87,5949.12
2.4300,34.23,250.49,6011.74
2.4400,39.12,219.18,5573.39
2.5100,68.47,125.24,8234.83
2.5200,34.23,250.49,14434.44
2.5300,30.43,281.80,11459.88
2.5400,30.43,281.80,11397.26
2.5500,39.12,219.18,14465.75
2.5600,45.64,187.87,14434.44
2.5700,34.23,250.49,14246.58
2.5800,30.43,281.80,14434.44
2.5900,30.43,281.80,14465.75
2.6000,54.77,156.56,14403.13
2.7500,91.29,93.93,7514.68
2.7600,91.29,93.93,8610.57
2.7700,54.77,156.56,5510.76
2.7900,68.47,125.24,14465.75
2.8200,54.77,156.56,11397.26
2.8300,54.77,156.56,11428.57
2.8400,45.64,187.87,11616.44
2.8700,24.90,344.42,8422.70
2.8800,22.82,375.73,8547.95
2.8900,30.43,281.80,7514.68
2.9000,68.47,125.24,11459.88
2.9500,54.77,156.56,14152.64
2.9600,30.43,281.80,11522.50
2.9700,30.43,281.80,8360.08
2.9800,22.82,375.73,3256.36
2.9900,21.07,407.05,3099.80
3.0000,19.56,438.36,2911.94
3.0100,19.56,438.36,6136.99
3.0200,21.07,407.05,6168.30
3.0300,21.07,407.05,2974.56
3.0400,21.07,407.05,5949.12
3.0600,30.43,281.80,14340.51
3.0700,34.23,250.49,7984.34
3.0800,34.23,250.49,5510.76
3.0900,34.23,250.49,6043.05
3.1000,39.12,219.18,5761.25
3.1200,45.64,187.87,11459.88
3.1300,30.43,281.80,6105.68
