Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,10.53,814.09,3131.12
0.0100,21.07,407.05,3193.74
0.0500,9.78,876.71,3600.78
0.0600,8.83,970.65,3632.09
0.0700,13.69,626.22,3068.49
0.0800,13.69,626.22,3193.74
0.0900,8.83,970.65,3225.05
0.1000,11.41,751.47,3193.74
0.1200,8.83,970.65,5729.94
0.1300,7.61,1127.20,2911.94
0.1400,8.30,1033.27,2911.94
0.1500,8.30,1033.27,3005.87
0.1900,7.21,1189.82,3131.12
0.2000,8.56,1001.96,3162.43
0.2100,9.78,876.71,3193.74
0.2300,45.64,187.87,3162.43
0.2400,15.21,563.60,3068.49
0.3700,34.23,250.49,3569.47
0.3800,21.07,407.05,5354.21
0.3900,24.90,344.42,5260.27
0.4100,24.90,344.42,3663.41
0.4600,54.77,156.56,5354.21
0.5100,17.12,500.98,5072.41
0.5200,18.26,469.67,5166.34
0.5300,14.41,594.91,5354.21
0.5400,16.11,532.29,4978.47
0.5500,17.12,500.98,4352.25
0.5600,39.12,219.18,3506.85
0.6600,24.90,344.42,4133.07
0.6700,16.11,532.29,4414.87
0.6900,14.41,594.91,4790.61
0.7500,22.82,375.73,2943.25
0.7600,14.41,594.91,3037.18
0.7700,14.41,594.91,3193.74
0.7800,15.21,563.60,3663.41
0.7900,16.11,532.29,3913.89
0.8000,16.11,532.29,3882.58
0.8100,15.21,563.60,3726.03
0.8200,15.21,563.60,3819.96
0.8300,22.82,375.73,4571.43
0.8800,34.23,250.49,3475.54
0.8900,27.39,313.11,3475.54
0.9000,27.39,313.11,3287.67
0.9100,30.43,281.80,3193.74
0.9200,34.23,250.49,3068.49
0.9300,34.23,250.49,3037.18
0.9400,30.43,281.80,3099.80
0.9500,27.39,313.11,3099.80
0.9600,27.39,313.11,3005.87
0.9700,22.82,375.73,2974.56
0.9800,22.82,375.73,2849.32
0.9900,21.07,407.05,2786.69
1.0000,18.26,469.67,14340.51
1.0100,24.90,344.42,14371.82
1.0300,9.78,876.71,5949.12
1.0400,8.30,1033.27,6637.96
1.0500,8.56,1001.96,6481.41
1.0800,8.56,1001.96,9925.64
1.0900,8.83,970.65,12806.26
1.1200,9.78,876.71,9706.46
1.1300,10.14,845.40,6575.34
1.1400,10.14,845.40,10113.50
1.1500,10.95,782.78,3663.41
1.1600,10.95,782.78,3632.09
1.1700,54.77,156.56,3506.85
1.2400,16.11,532.29,3569.47
1.2500,12.45,688.85,3506.85
1.2600,11.91,720.16,3444.23
1.2700,11.91,720.16,3444.23
1.2800,13.69,626.22,3444.23
1.2900,14.41,594.91,3350.29
1.3000,16.11,532.29,3287.67
1.3100,18.26,469.67,3225.05
1.3200,30.43,281.80,3068.49
1.3300,30.43,281.80,2849.32
1.3400,34.23,250.49,2974.56
1.3900,21.07,407.05,2818.00
1.4000,19.56,438.36,14090.02
1.4200,18.26,469.67,14371.82
1.4500,21.07,407.05,5228.96
1.4600,24.90,344.42,5322.90
1.4700,24.90,344.42,5135.03
1.4800,22.82,375.73,8360.08
1.5100,7.40,1158.51,14277.89
1.5700,12.45,688.85,2097.85
1.5800,19.56,438.36,2285.71
1.5900,68.47,125.24,2379.65
1.6000,24.90,344.42,2379.65
1.6100,27.39,313.11,2254.40
