Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,9.78,876.71,2661.45
0.3300,8.83,970.65,3475.54
0.3800,8.30,1033.27,3569.47
0.3900,8.30,1033.27,3475.54
0.4000,8.56,1001.96,3444.23
0.4100,8.56,1001.96,3475.54
0.4200,8.56,1001.96,3538.16
0.4300,8.30,1033.27,3600.78
0.4400,8.56,1001.96,3632.09
0.4500,10.53,814.09,3569.47
0.4600,19.56,438.36,3538.16
0.8300,27.39,313.11,3225.05
0.8400,27.39,313.11,2880.63
0.8500,34.23,250.49,2786.69
0.8600,34.23,250.49,2786.69
0.8700,27.39,313.11,2818.00
0.8800,27.39,313.11,2818.00
0.8900,30.43,281.80,2786.69
0.9000,39.12,219.18,2692.76
0.9800,34.23,250.49,3412.92
1.0300,10.53,814.09,4258.32
1.0400,9.78,876.71,4133.07
1.0500,7.82,1095.89,4227.01
1.0600,7.61,1127.20,4258.32
1.0700,7.61,1127.20,4195.69
1.0800,7.40,1158.51,4101.76
1.2000,45.64,187.87,2630.14
1.2100,30.43,281.80,2504.89
1.2200,27.39,313.11,8485.32
1.2300,27.39,313.11,2630.14
1.2400,30.43,281.80,2661.45
1.2500,30.43,281.80,2724.07
1.2600,34.23,250.49,2724.07
1.2700,30.43,281.80,2724.07
1.2800,30.43,281.80,2473.58
1.2900,34.23,250.49,3099.80
1.3600,54.77,156.56,5166.34
1.3700,34.23,250.49,5041.10
1.3800,34.23,250.49,3381.60
1.3900,34.23,250.49,4446.18
1.4300,39.12,219.18,3945.21
1.4400,34.23,250.49,4007.83
1.4500,30.43,281.80,3882.58
1.4600,27.39,313.11,3851.27
1.4700,17.12,500.98,9894.32
1.4800,15.21,563.60,3694.72
1.4900,15.21,563.60,3913.89
1.5000,12.45,688.85,3913.89
1.5100,9.78,876.71,3569.47
1.5500,8.30,1033.27,7170.25
1.5600,8.05,1064.58,12712.33
1.6500,17.12,500.98,4477.50
1.6600,11.91,720.16,4915.85
1.7900,45.64,187.87,1471.62
1.8600,34.23,250.49,11397.26
1.8700,34.23,250.49,11240.70
1.8800,45.64,187.87,11303.33
1.8900,39.12,219.18,3037.18
1.9000,34.23,250.49,3005.87
1.9100,45.64,187.87,3068.49
1.9200,45.64,187.87,3037.18
1.9300,68.47,125.24,2943.25
1.9400,68.47,125.24,2911.94
1.9500,68.47,125.24,2943.25
1.9600,45.64,187.87,2974.56
1.9700,30.43,281.80,2818.00
1.9800,30.43,281.80,2724.07
1.9900,30.43,281.80,2818.00
2.0000,30.43,281.80,2943.25
2.0100,30.43,281.80,2911.94
2.0200,30.43,281.80,11491.19
2.0300,30.43,281.80,11491.19
2.0400,27.39,313.11,11491.19
2.0500,27.39,313.11,3005.87
2.0600,27.39,313.11,3068.49
2.0700,27.39,313.11,2974.56
2.0800,27.39,313.11,2692.76
2.0900,27.39,313.11,8360.08
2.1000,30.43,281.80,8547.95
2.1100,39.12,219.18,11459.88
2.2800,22.82,375.73,5416.83
2.2900,21.07,407.05,5354.21
2.3000,22.82,375.73,5322.90
2.5900,34.23,250.49,3287.67
2.6000,68.47,125.24,3412.92
2.6100,39.12,219.18,3663.41
2.6200,30.43,281.80,3663.41
2.6300,30.43,281.80,3694.72
2.6400,34.23,250.49,3350.29
2.6500,34.23,250.49,2943.25
2.6600,34.23,250.49,2880.63
2.9500,91.29,93.93,14340.51
3.0300,30.43,281.80,12900.20
3.1100,27.39,313.11,1753.42
3.1200,27.39,313.11,1847.36
3.1300,24.90,344.42,5698.63
3.1400,24.90,344.42,5667.32
3.1500,22.82,375.73,11397.26
3.1600,22.82,375.73,11459.88
3.1700,24.90,344.42,11459.88
3.1800,27.39,313.11,11459.88
3.1900,27.39,313.11,8547.95
3.2000,30.43,281.80,8610.57
3.2100,27.39,313.11,11459.88
3.2200,30.43,281.80,11178.08
3.2400,45.64,187.87,14183.95
3.2800,27.39,313.11,12931.51
3.3300,22.82,375.73,12900.20
3.3400,30.43,281.80,12931.51
3.3500,24.90,344.42,6951.08
3.4300,34.23,250.49,2849.32
3.4400,45.64,187.87,3099.80
3.4500,45.64,187.87,3318.98
3.4600,34.23,250.49,3381.60
3.4700,30.43,281.80,3256.36
3.4800,30.43,281.80,3005.87
3.4900,30.43,281.80,2911.94
3.5000,27.39,313.11,2911.94
3.5100,34.23,250.49,2943.25
3.5200,34.23,250.49,3005.87
3.5300,30.43,281.80,3068.49
3.5400,39.12,219.18,3005.87
3.5500,45.64,187.87,2911.94
3.5600,39.12,219.18,2911.94
3.5700,30.43,281.80,3131.12
3.5800,30.43,281.80,3193.74
3.5900,30.43,281.80,3225.05
3.6400,10.95,782.78,4790.61
3.6500,8.05,1064.58,4821.92
3.6600,9.44,908.02,3381.60
3.6700,10.53,814.09,5291.59
3.8700,11.41,751.47,4884.54
3.8800,45.64,187.87,4978.47
3.9100,7.40,1158.51,4571.43
4.0400,21.07,407.05,2911.94
4.0500,9.78,876.71,12493.15
4.1300,7.40,1158.51,9737.77
4.1400,8.05,1064.58,3569.47
4.1500,9.13,939.33,3726.03
4.1600,9.44,908.02,3600.78
4.1700,9.44,908.02,3600.78
4.1800,10.95,782.78,3694.72
4.1900,10.53,814.09,3600.78
4.2000,11.41,751.47,3569.47
4.2100,18.26,469.67,3412.92
4.3600,39.12,219.18,4978.47
4.3700,24.90,344.42,8516.63
4.3900,21.07,407.05,11365.95
4.4000,21.07,407.05,11365.95
4.4100,19.56,438.36,11334.64
4.4200,19.56,438.36,11491.19
4.4300,22.82,375.73,11397.26
4.4400,34.23,250.49,4915.85
4.5900,16.11,532.29,4414.87
4.6000,11.41,751.47,4571.43
4.6100,10.53,814.09,4853.23
4.6600,17.12,500.98,12806.26
4.6700,18.26,469.67,9831.70
4.6800,18.26,469.67,3600.78
4.6900,18.26,469.67,3788.65
4.7000,18.26,469.67,3882.58
4.7100,19.56,438.36,3882.58
4.7200,22.82,375.73,3851.27
4.7300,24.90,344.42,3851.27
4.7400,30.43,281.80,3600.78
4.7800,15.21,563.60,3350.29
4.9300,7.40,1158.51,3318.98
4.9400,16.11,532.29,12900.20
5.0100,39.12,219.18,14277.89
5.0200,24.90,344.42,11178.08
5.2900,7.21,1189.82,7045.01
5.3000,8.56,1001.96,3444.23
5.4600,7.82,1095.89,3350.29
5.4700,9.13,939.33,3506.85
5.4800,11.91,720.16,3412.92
5.5200,10.53,814.09,3225.05
5.5300,9.78,876.71,3350.29
5.5400,11.91,720.16,3350.29
5.5500,13.04,657.53,3381.60
5.8000,39.12,219.18,3193.74
5.8100,17.12,500.98,3005.87
5.9000,68.47,125.24,5103.72
5.9100,17.12,500.98,2880.63
5.9200,24.90,344.42,2849.32
5.9300,45.64,187.87,2661.45
5.9700,14.41,594.91,3318.98
5.9800,17.12,500.98,3287.67
6.0300,13.04,657.53,3694.72
6.0400,18.26,469.67,3788.65
6.0500,11.41,751.47,3851.27
6.0600,10.14,845.40,3726.03
6.0700,9.13,939.33,3726.03
6.0800,7.82,1095.89,3663.41
6.0900,7.40,1158.51,3600.78
6.1000,7.40,1158.51,3569.47
6.1100,7.61,1127.20,3600.78
6.1200,8.05,1064.58,3632.09
6.1300,7.61,1127.20,3381.60
6.1400,8.83,970.65,3256.36
6.1500,8.83,970.65,3225.05
6.1600,9.13,939.33,5072.41
6.1700,11.41,751.47,4915.85
6.1800,16.11,532.29,4320.94
6.1900,11.41,751.47,4258.32
6.2000,9.78,876.71,3945.21
6.2100,9.78,876.71,5009.78
6.2200,13.69,626.22,5260.27
6.2300,14.41,594.91,3193.74
6.2400,11.91,720.16,3318.98
6.2500,13.04,657.53,3287.67
6.2600,12.45,688.85,3287.67
6.2700,10.53,814.09,3350.29
6.2800,13.04,657.53,3287.67
6.2900,15.21,563.60,3506.85
6.3000,11.41,751.47,3632.09
6.3100,11.41,751.47,3945.21
6.3400,39.12,219.18,3381.60
6.3500,14.41,594.91,3287.67
6.3600,22.82,375.73,3819.96
