Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,22.82,375.73,2943.25
0.6500,39.12,219.18,2504.89
0.6600,34.23,250.49,2504.89
0.6700,45.64,187.87,5761.25
0.7000,91.29,93.93,2379.65
0.7200,54.77,156.56,2504.89
0.7300,34.23,250.49,2473.58
0.7400,39.12,219.18,2379.65
0.7500,39.12,219.18,9174.17
0.7600,11.41,751.47,8078.28
0.7700,10.95,782.78,8172.21
0.7800,9.44,908.02,8266.14
0.7900,8.83,970.65,4947.16
0.8000,8.56,1001.96,5041.10
0.8100,10.14,845.40,4915.85
0.8200,27.39,313.11,5135.03
0.8300,22.82,375.73,9048.92
0.8400,22.82,375.73,14434.44
0.8500,22.82,375.73,14277.89
0.8700,27.39,313.11,9549.90
0.8800,22.82,375.73,7890.41
0.8900,30.43,281.80,9988.26
0.9000,39.12,219.18,8610.57
0.9100,45.64,187.87,8360.08
0.9200,54.77,156.56,11459.88
0.9300,39.12,219.18,9362.04
0.9400,39.12,219.18,9268.10
0.9500,39.12,219.18,6074.36
0.9600,39.12,219.18,6606.65
0.9700,39.12,219.18,6669.28
1.0500,21.07,407.05,8641.88
1.0600,21.07,407.05,8610.57
1.0700,21.07,407.05,8673.19
1.0800,54.77,156.56,13964.77
1.1300,27.39,313.11,2567.51
1.1400,30.43,281.80,2661.45
1.1500,34.23,250.49,2661.45
1.1600,39.12,219.18,2598.83
1.1700,68.47,125.24,2536.20
1.2600,39.12,219.18,5917.81
1.2700,54.77,156.56,9174.17
1.2800,54.77,156.56,8923.68
1.2900,45.64,187.87,9111.55
1.3000,68.47,125.24,9205.48
1.3500,30.43,281.80,1221.14
1.3900,7.61,1127.20,8078.28
1.4000,7.40,1158.51,8046.97
1.6700,39.12,219.18,6606.65
1.6800,30.43,281.80,2348.34
1.6900,34.23,250.49,2348.34
1.7000,34.23,250.49,5886.50
1.7100,30.43,281.80,5886.50
1.7200,34.23,250.49,8923.68
1.7300,54.77,156.56,9080.23
1.7400,91.29,93.93,9330.72
1.7500,45.64,187.87,3851.27
1.7700,39.12,219.18,4258.32
1.7800,39.12,219.18,2943.25
1.7900,34.23,250.49,2786.69
1.8000,39.12,219.18,2724.07
1.8100,68.47,125.24,2504.89
1.8300,91.29,93.93,5855.19
1.8400,91.29,93.93,5886.50
1.9200,39.12,219.18,2567.51
1.9300,24.90,344.42,5949.12
1.9400,22.82,375.73,2724.07
1.9500,24.90,344.42,2724.07
1.9600,24.90,344.42,8485.32
1.9700,24.90,344.42,2755.38
1.9800,24.90,344.42,2661.45
1.9900,24.90,344.42,2661.45
2.0500,39.12,219.18,2410.96
2.0600,30.43,281.80,2191.78
2.0700,30.43,281.80,5855.19
2.0800,39.12,219.18,5792.56
2.1000,45.64,187.87,9080.23
2.1600,10.14,845.40,3819.96
2.2200,19.56,438.36,6043.05
2.2300,19.56,438.36,9549.90
2.2400,19.56,438.36,6387.48
2.2500,21.07,407.05,8798.43
2.2600,21.07,407.05,8735.81
2.2700,21.07,407.05,8673.19
2.3000,17.12,500.98,12649.71
2.4500,45.64,187.87,6043.05
2.4600,30.43,281.80,6136.99
2.4700,39.12,219.18,6293.54
2.5200,39.12,219.18,3162.43
2.5300,54.77,156.56,2911.94
2.5400,34.23,250.49,2880.63
2.6000,45.64,187.87,2661.45
2.6100,39.12,219.18,2598.83
2.6200,34.23,250.49,5636.01
2.6300,39.12,219.18,8798.43
2.6400,45.64,187.87,9205.48
2.6700,27.39,313.11,9174.17
2.6800,19.56,438.36,5636.01
2.6900,18.26,469.67,9205.48
2.7000,22.82,375.73,9362.04
2.8300,7.61,1127.20,9205.48
2.9500,68.47,125.24,8986.30
3.0600,54.77,156.56,2818.00
3.0700,27.39,313.11,2786.69
3.0800,27.39,313.11,2692.76
3.1200,34.23,250.49,2818.00
3.1300,27.39,313.11,2911.94
3.1400,24.90,344.42,2974.56
3.1500,24.90,344.42,2880.63
3.1600,24.90,344.42,2849.32
3.1700,27.39,313.11,2943.25
3.1800,27.39,313.11,3131.12
3.1900,27.39,313.11,3005.87
3.2200,91.29,93.93,8579.26
3.2300,39.12,219.18,8923.68
3.2400,34.23,250.49,5823.87
3.2500,34.23,250.49,2661.45
3.2600,34.23,250.49,2598.83
3.2700,39.12,219.18,2630.14
3.2800,39.12,219.18,2755.38
3.6100,45.64,187.87,5886.50
3.6200,45.64,187.87,2630.14
3.6300,39.12,219.18,2630.14
3.6400,34.23,250.49,2598.83
3.6500,34.23,250.49,2661.45
3.6600,30.43,281.80,2661.45
3.6700,27.39,313.11,5729.94
3.6800,34.23,250.49,8579.26
3.6900,91.29,93.93,14121.33
3.7300,19.56,438.36,12806.26
3.7400,10.95,782.78,7984.34
3.7500,9.44,908.02,9142.86
3.7600,9.78,876.71,9612.52
3.7700,10.53,814.09,8767.12
3.7800,11.91,720.16,9299.41
3.7900,54.77,156.56,6919.77
3.8700,68.47,125.24,6794.52
3.8800,39.12,219.18,2786.69
3.8900,34.23,250.49,2473.58
3.9000,45.64,187.87,6763.21
3.9100,68.47,125.24,6356.16
3.9200,45.64,187.87,9831.70
3.9300,14.41,594.91,9393.35
3.9400,15.21,563.60,9800.39
3.9500,17.12,500.98,9800.39
