Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,11.41,751.47,2911.94
0.0200,15.21,563.60,3632.09
0.2500,7.21,1189.82,3882.58
0.2600,8.56,1001.96,6074.36
0.2700,18.26,469.67,5886.50
0.3300,8.30,1033.27,4070.45
0.3400,7.61,1127.20,4540.12
0.3500,7.82,1095.89,4696.67
0.3600,9.78,876.71,4414.87
0.5900,19.56,438.36,5291.59
0.6100,16.11,532.29,4070.45
0.6500,45.64,187.87,3412.92
0.7000,91.29,93.93,5542.07
0.8400,7.21,1189.82,4696.67
0.8500,7.40,1158.51,4665.36
0.9900,17.12,500.98,3037.18
1.0000,39.12,219.18,3099.80
1.0600,13.04,657.53,4978.47
1.0700,9.13,939.33,4884.54
1.1200,68.47,125.24,3318.98
1.1300,10.53,814.09,2911.94
1.1400,9.44,908.02,5009.78
1.1500,21.07,407.05,4821.92
1.1600,19.56,438.36,3131.12
1.1700,16.11,532.29,10207.44
1.3600,11.91,720.16,5291.59
1.4400,39.12,219.18,4508.81
1.5500,12.45,688.85,11272.02
1.5600,11.91,720.16,11428.57
1.5700,11.91,720.16,5573.39
1.5800,12.45,688.85,1847.36
1.5900,13.04,657.53,1909.98
1.6000,13.69,626.22,1941.29
1.6100,14.41,594.91,1972.60
1.6200,15.21,563.60,1972.60
1.6300,16.11,532.29,1972.60
1.6400,18.26,469.67,8516.63
1.6500,21.07,407.05,8454.01
1.7200,27.39,313.11,4477.50
1.7300,22.82,375.73,4446.18
1.7400,22.82,375.73,4352.25
1.7500,30.43,281.80,4320.94
1.7900,24.90,344.42,8547.95
1.8000,19.56,438.36,8422.70
1.8100,19.56,438.36,8579.26
1.8200,18.26,469.67,2003.91
1.8300,17.12,500.98,2003.91
1.8400,17.12,500.98,2035.23
1.8500,17.12,500.98,2160.47
1.8600,17.12,500.98,2129.16
1.8700,17.12,500.98,2160.47
1.8800,17.12,500.98,2191.78
1.8900,18.26,469.67,5636.01
1.9000,19.56,438.36,8547.95
1.9100,21.07,407.05,8516.63
1.9200,27.39,313.11,8454.01
1.9700,34.23,250.49,4320.94
2.1400,11.41,751.47,4508.81
2.1500,12.45,688.85,1471.62
2.1600,13.04,657.53,1502.94
2.1700,13.04,657.53,1471.62
2.1800,13.04,657.53,5667.32
2.1900,15.21,563.60,5573.39
2.2000,19.56,438.36,14371.82
2.2300,22.82,375.73,4352.25
2.2800,7.40,1158.51,4007.83
2.3000,12.45,688.85,4696.67
2.3100,24.90,344.42,4696.67
2.3200,18.26,469.67,4571.43
2.3300,17.12,500.98,4602.74
2.3400,18.26,469.67,3945.21
2.3500,19.56,438.36,5448.14
2.3600,19.56,438.36,8704.50
2.3700,18.26,469.67,8547.95
2.3800,19.56,438.36,11491.19
2.3900,19.56,438.36,5729.94
2.4000,18.26,469.67,5761.25
2.4100,18.26,469.67,5698.63
2.4200,18.26,469.67,5636.01
2.4300,22.82,375.73,2379.65
2.4400,22.82,375.73,2129.16
2.4500,21.07,407.05,2254.40
2.4600,21.07,407.05,2348.34
2.4700,22.82,375.73,2567.51
2.4800,24.90,344.42,2661.45
2.4900,24.90,344.42,2661.45
2.5000,24.90,344.42,2661.45
2.5100,24.90,344.42,2692.76
2.5200,22.82,375.73,2692.76
2.5300,21.07,407.05,2692.76
2.5400,22.82,375.73,8547.95
2.5500,22.82,375.73,8547.95
2.5600,22.82,375.73,8234.83
2.5700,22.82,375.73,3632.09
2.5800,22.82,375.73,3851.27
2.5900,22.82,375.73,3757.34
2.6000,24.90,344.42,3819.96
2.6100,24.90,344.42,3851.27
2.6300,27.39,313.11,12837.57
2.6600,27.39,313.11,3976.52
2.6700,27.39,313.11,11334.64
2.6800,30.43,281.80,11397.26
2.6900,39.12,219.18,11240.70
2.7000,45.64,187.87,14465.75
2.7100,54.77,156.56,14403.13
2.8500,7.40,1158.51,4258.32
2.8700,7.82,1095.89,4289.63
2.8800,9.44,908.02,4289.63
2.9600,7.40,1158.51,4540.12
2.9700,8.05,1064.58,4540.12
2.9800,7.61,1127.20,4540.12
3.0900,30.43,281.80,4540.12
3.1000,27.39,313.11,12868.88
3.1100,27.39,313.11,12806.26
3.1200,27.39,313.11,12868.88
3.1300,21.07,407.05,6919.77
3.1700,12.45,688.85,9956.95
3.2300,9.13,939.33,11303.33
3.2400,9.13,939.33,11209.39
3.2500,9.13,939.33,11428.57
3.2600,9.44,908.02,5917.81
3.2700,9.13,939.33,5636.01
3.2800,8.83,970.65,11365.95
3.2900,8.83,970.65,5166.34
3.3000,9.13,939.33,11365.95
3.3100,10.14,845.40,11178.08
3.3200,10.95,782.78,11209.39
3.3300,11.91,720.16,14403.13
3.3500,19.56,438.36,14215.26
3.3600,21.07,407.05,2536.20
3.3700,22.82,375.73,2598.83
3.3800,21.07,407.05,5761.25
3.3900,22.82,375.73,8673.19
3.4000,22.82,375.73,8641.88
3.4100,22.82,375.73,8454.01
3.4200,22.82,375.73,11459.88
3.4300,21.07,407.05,11397.26
3.4400,21.07,407.05,8610.57
3.4500,21.07,407.05,8641.88
3.4600,21.07,407.05,8673.19
3.4700,21.07,407.05,8641.88
3.4800,21.07,407.05,8454.01
3.4900,21.07,407.05,11084.15
3.5000,21.07,407.05,11365.95
3.5100,22.82,375.73,8360.08
3.5200,27.39,313.11,11334.64
3.5300,54.77,156.56,8391.39
3.5800,22.82,375.73,5009.78
3.5900,21.07,407.05,4978.47
3.6000,21.07,407.05,11491.19
3.6100,21.07,407.05,11365.95
3.6200,21.07,407.05,11178.08
3.6300,24.90,344.42,4602.74
3.6400,24.90,344.42,4571.43
3.9000,24.90,344.42,2504.89
3.9100,22.82,375.73,8610.57
3.9200,22.82,375.73,5761.25
3.9300,22.82,375.73,5823.87
3.9400,22.82,375.73,5823.87
3.9500,21.07,407.05,8579.26
3.9600,22.82,375.73,8454.01
4.0800,45.64,187.87,3444.23
4.0900,18.26,469.67,11209.39
4.1000,18.26,469.67,8673.19
4.1100,16.11,532.29,8673.19
4.1200,16.11,532.29,8673.19
4.1300,17.12,500.98,2598.83
4.1400,17.12,500.98,2724.07
4.1500,16.11,532.29,5886.50
4.1600,17.12,500.98,5886.50
4.1700,18.26,469.67,5949.12
4.1800,18.26,469.67,2692.76
4.1900,18.26,469.67,8391.39
4.2000,18.26,469.67,11522.50
4.2100,18.26,469.67,5636.01
4.2200,19.56,438.36,5855.19
4.2300,19.56,438.36,5823.87
4.2400,19.56,438.36,5479.45
4.2500,19.56,438.36,8485.32
4.2600,21.07,407.05,8422.70
4.2700,21.07,407.05,11491.19
4.2800,22.82,375.73,11459.88
4.2900,22.82,375.73,11428.57
4.3000,24.90,344.42,11146.77
4.3100,22.82,375.73,8454.01
4.3200,19.56,438.36,11428.57
4.3300,18.26,469.67,8485.32
4.3400,18.26,469.67,8673.19
4.3500,19.56,438.36,8454.01
4.3600,30.43,281.80,14371.82
4.4000,54.77,156.56,3569.47
4.4500,45.64,187.87,5949.12
4.6400,8.30,1033.27,2786.69
4.6500,10.53,814.09,2755.38
4.6600,15.21,563.60,2285.71
4.6700,14.41,594.91,8360.08
4.6800,14.41,594.91,14371.82
4.7000,13.69,626.22,11178.08
4.7100,13.69,626.22,12774.95
4.7200,14.41,594.91,12774.95
4.7300,15.21,563.60,12900.20
4.7400,14.41,594.91,12900.20
4.7500,13.04,657.53,12774.95
4.7800,13.69,626.22,5448.14
4.7900,13.69,626.22,5385.52
4.8000,15.21,563.60,5354.21
4.8100,14.41,594.91,5542.07
4.8200,13.69,626.22,11397.26
4.8300,13.69,626.22,8391.39
4.8400,13.04,657.53,11334.64
4.8500,14.41,594.91,11397.26
4.8600,15.21,563.60,5510.76
4.8700,15.21,563.60,5636.01
4.8800,18.26,469.67,5542.07
4.8900,21.07,407.05,8485.32
4.9000,30.43,281.80,8485.32
5.1400,22.82,375.73,4007.83
5.1500,27.39,313.11,11459.88
5.1600,30.43,281.80,11334.64
5.1800,30.43,281.80,11303.33
5.1900,30.43,281.80,11428.57
5.2000,39.12,219.18,11397.26
5.2500,15.21,563.60,4039.14
5.2700,17.12,500.98,14434.44
5.2800,17.12,500.98,14403.13
5.3300,14.41,594.91,12900.20
5.3400,13.69,626.22,12837.57
5.3500,13.04,657.53,12900.20
5.3600,12.45,688.85,12931.51
5.3700,13.04,657.53,4414.87
5.3800,16.11,532.29,12837.57
5.4300,21.07,407.05,3757.34
5.4400,21.07,407.05,8485.32
5.4500,21.07,407.05,8641.88
5.4600,21.07,407.05,2504.89
5.4700,21.07,407.05,2504.89
5.4800,21.07,407.05,2536.20
5.4900,22.82,375.73,2536.20
5.5000,22.82,375.73,2536.20
5.5100,22.82,375.73,2630.14
5.5200,24.90,344.42,2598.83
5.5300,45.64,187.87,2661.45
5.8400,68.47,125.24,3694.72
6.2000,18.26,469.67,4101.76
6.2100,15.21,563.60,4164.38
6.2200,21.07,407.05,14277.89
6.2300,17.12,500.98,11365.95
6.2400,16.11,532.29,2786.69
6.2500,30.43,281.80,2567.51
6.4100,9.78,876.71,4508.81
6.4200,9.13,939.33,4070.45
6.4300,30.43,281.80,4007.83
6.4800,7.40,1158.51,3757.34
