Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0100,13.04,657.53,3099.80
0.0200,10.14,845.40,3694.72
0.0300,8.30,1033.27,5761.25
0.0400,15.21,563.60,4320.94
0.0500,27.39,313.11,5072.41
0.1200,22.82,375.73,7483.37
0.1300,30.43,281.80,5510.76
0.1400,19.56,438.36,5792.56
0.1600,24.90,344.42,6544.03
0.1700,22.82,375.73,4446.18
0.1900,68.47,125.24,5322.90
0.2000,30.43,281.80,5385.52
0.2100,27.39,313.11,5041.10
0.2200,24.90,344.42,6951.08
0.2300,30.43,281.80,5667.32
0.2400,34.23,250.49,6324.85
0.2500,22.82,375.73,6387.48
0.2600,22.82,375.73,6512.72
0.2700,34.23,250.49,4133.07
0.3000,45.64,187.87,6857.14
0.3100,24.90,344.42,6731.90
0.3200,19.56,438.36,6763.21
0.3300,18.26,469.67,6637.96
0.3400,19.56,438.36,6637.96
0.3500,22.82,375.73,6575.34
0.3600,39.12,219.18,6606.65
0.4000,34.23,250.49,7045.01
0.4100,22.82,375.73,6700.59
0.4200,22.82,375.73,6544.03
0.4300,34.23,250.49,6262.23
0.4500,34.23,250.49,14277.89
0.4600,24.90,344.42,7013.70
0.5000,54.77,156.56,6356.16
0.6200,24.90,344.42,6481.41
0.6300,22.82,375.73,6888.45
0.6400,27.39,313.11,6951.08
0.6500,22.82,375.73,6888.45
0.6600,22.82,375.73,6857.14
0.6700,30.43,281.80,6606.65
0.7100,27.39,313.11,7201.57
0.7500,30.43,281.80,7107.63
0.7600,27.39,313.11,6575.34
0.7700,24.90,344.42,6293.54
0.7900,19.56,438.36,3318.98
0.8000,21.07,407.05,6606.65
0.8100,19.56,438.36,14371.82
0.8200,21.07,407.05,14371.82
0.8900,54.77,156.56,11365.95
0.9400,34.23,250.49,2567.51
0.9600,45.64,187.87,2630.14
1.0600,45.64,187.87,2692.76
1.0700,30.43,281.80,2630.14
1.0800,34.23,250.49,2598.83
1.1000,54.77,156.56,2786.69
1.1100,45.64,187.87,2661.45
1.1200,54.77,156.56,2630.14
1.1300,91.29,93.93,2598.83
1.1600,34.23,250.49,2598.83
1.1700,34.23,250.49,2598.83
1.1800,30.43,281.80,2630.14
1.1900,30.43,281.80,2630.14
1.2000,24.90,344.42,2661.45
1.2100,27.39,313.11,2661.45
1.2200,30.43,281.80,5823.87
1.3300,13.04,657.53,5072.41
1.3400,11.41,751.47,5166.34
1.3500,12.45,688.85,5166.34
1.4000,27.39,313.11,2442.27
1.4100,27.39,313.11,2473.58
1.4200,27.39,313.11,2504.89
1.4300,27.39,313.11,2504.89
1.4400,30.43,281.80,2504.89
1.4500,39.12,219.18,2536.20
1.4700,54.77,156.56,2724.07
1.4800,39.12,219.18,2692.76
1.4900,39.12,219.18,5917.81
1.5000,68.47,125.24,6105.68
1.5200,54.77,156.56,3005.87
1.6300,39.12,219.18,3600.78
1.6400,45.64,187.87,3475.54
1.6700,34.23,250.49,2348.34
1.6800,68.47,125.24,6669.28
1.7100,34.23,250.49,7295.50
1.7200,30.43,281.80,7076.32
1.7300,39.12,219.18,6293.54
1.7800,27.39,313.11,5698.63
1.7900,27.39,313.11,6575.34
1.8000,30.43,281.80,2661.45
1.8100,24.90,344.42,2598.83
1.8200,24.90,344.42,2504.89
1.8300,27.39,313.11,7514.68
1.8400,68.47,125.24,11553.82
1.8900,30.43,281.80,5260.27
1.9000,24.90,344.42,5166.34
1.9100,19.56,438.36,2035.23
1.9200,18.26,469.67,6606.65
1.9300,16.11,532.29,6168.30
1.9500,11.41,751.47,14246.58
1.9600,10.53,814.09,11334.64
1.9700,10.53,814.09,7890.41
1.9800,11.41,751.47,8015.66
1.9900,17.12,500.98,7107.63
2.0000,27.39,313.11,10113.50
2.0400,14.41,594.91,7326.81
2.0500,10.95,782.78,2630.14
2.0600,18.26,469.67,2536.20
2.1100,54.77,156.56,11428.57
2.1200,34.23,250.49,14434.44
2.1300,34.23,250.49,3193.74
2.1400,39.12,219.18,6669.28
2.1600,22.82,375.73,7733.86
2.1700,30.43,281.80,11240.70
2.1800,27.39,313.11,11365.95
2.2000,34.23,250.49,2129.16
2.2100,22.82,375.73,2379.65
2.2200,24.90,344.42,2473.58
2.2300,91.29,93.93,2504.89
2.2600,91.29,93.93,6356.16
2.3000,54.77,156.56,2943.25
2.4000,45.64,187.87,6262.23
2.4100,27.39,313.11,6293.54
2.4200,24.90,344.42,6262.23
2.4300,24.90,344.42,6168.30
2.4400,22.82,375.73,6168.30
2.4500,22.82,375.73,6199.61
2.4600,24.90,344.42,6168.30
2.4700,27.39,313.11,6043.05
2.4800,30.43,281.80,2504.89
2.4900,34.23,250.49,2598.83
2.5000,39.12,219.18,2661.45
2.5100,39.12,219.18,2755.38
2.5200,39.12,219.18,2818.00
2.5300,34.23,250.49,2755.38
2.5400,30.43,281.80,2598.83
2.5500,30.43,281.80,2598.83
2.5600,39.12,219.18,2504.89
2.5900,34.23,250.49,2661.45
2.6000,30.43,281.80,2661.45
2.6100,30.43,281.80,2661.45
2.6200,30.43,281.80,2661.45
2.6300,68.47,125.24,2504.89
2.6600,68.47,125.24,2536.20
2.6700,45.64,187.87,2379.65
2.6800,30.43,281.80,2567.51
2.6900,27.39,313.11,2661.45
2.7000,30.43,281.80,2661.45
2.7400,10.53,814.09,2504.89
2.7500,10.95,782.78,2598.83
2.7600,12.45,688.85,2598.83
2.7700,13.69,626.22,2504.89
2.7800,11.41,751.47,2473.58
2.7900,11.91,720.16,2473.58
2.8000,12.45,688.85,2504.89
2.8100,11.41,751.47,2442.27
2.8200,10.53,814.09,5667.32
2.8300,10.95,782.78,6043.05
2.8400,10.95,782.78,6575.34
2.8500,13.04,657.53,6637.96
2.8600,16.11,532.29,6544.03
2.8700,18.26,469.67,6230.92
2.8800,17.12,500.98,5698.63
2.8900,22.82,375.73,6951.08
2.9000,24.90,344.42,6919.77
2.9100,30.43,281.80,6199.61
2.9500,30.43,281.80,3913.89
2.9800,54.77,156.56,10896.28
2.9900,39.12,219.18,9549.90
3.0000,22.82,375.73,12900.20
3.0400,27.39,313.11,5729.94
3.0500,27.39,313.11,2661.45
3.0600,30.43,281.80,2567.51
3.0700,34.23,250.49,2536.20
3.0800,39.12,219.18,2504.89
3.0900,34.23,250.49,2536.20
3.1000,34.23,250.49,2598.83
3.1100,30.43,281.80,2630.14
3.1200,27.39,313.11,2567.51
3.1300,24.90,344.42,2442.27
3.1400,21.07,407.05,2223.09
3.1500,17.12,500.98,6074.36
3.1600,16.11,532.29,5823.87
3.1700,15.21,563.60,14403.13
3.2500,21.07,407.05,14152.64
3.2600,22.82,375.73,14434.44
3.2700,27.39,313.11,14403.13
3.3200,22.82,375.73,11146.77
3.3300,24.90,344.42,5823.87
3.3400,27.39,313.11,2692.76
3.3500,30.43,281.80,2818.00
3.3600,68.47,125.24,2911.94
3.4300,68.47,125.24,5510.76
3.4400,22.82,375.73,5573.39
3.4800,68.47,125.24,5761.25
3.4900,27.39,313.11,5729.94
3.5000,24.90,344.42,5886.50
3.5100,24.90,344.42,5729.94
3.5200,22.82,375.73,5479.45
3.5300,24.90,344.42,5072.41
3.5400,34.23,250.49,5354.21
3.5500,39.12,219.18,5698.63
3.5600,34.23,250.49,5636.01
3.5700,30.43,281.80,5573.39
3.5800,30.43,281.80,5698.63
3.5900,30.43,281.80,5761.25
3.6000,34.23,250.49,5698.63
3.6100,54.77,156.56,5573.39
3.6300,91.29,93.93,5761.25
3.6400,45.64,187.87,5823.87
3.6500,27.39,313.11,5855.19
3.6600,24.90,344.42,5949.12
3.6700,24.90,344.42,5980.43
3.6800,21.07,407.05,5917.81
3.6900,19.56,438.36,5667.32
3.7000,19.56,438.36,5667.32
3.7100,19.56,438.36,5604.70
3.7200,21.07,407.05,5604.70
3.7300,22.82,375.73,5385.52
3.8100,8.05,1064.58,5416.83
3.8200,7.40,1158.51,5260.27
3.8300,8.56,1001.96,5103.72
3.8400,8.56,1001.96,5072.41
3.8500,7.40,1158.51,5103.72
4.0700,54.77,156.56,5479.45
4.0800,17.12,500.98,5448.14
4.0900,17.12,500.98,5479.45
4.1000,21.07,407.05,5448.14
4.1100,21.07,407.05,5197.65
4.1200,24.90,344.42,5135.03
4.1300,34.23,250.49,5072.41
4.1800,27.39,313.11,4884.54
4.1900,30.43,281.80,4477.50
4.2400,18.26,469.67,4477.50
4.2600,39.12,219.18,5823.87
4.2700,30.43,281.80,5917.81
