Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0200,7.61,1127.20,3225.05
0.0600,91.29,93.93,2974.56
0.7200,34.23,250.49,3162.43
0.7300,34.23,250.49,3099.80
0.7400,45.64,187.87,3037.18
0.7500,39.12,219.18,2974.56
0.7800,30.43,281.80,2755.38
0.7900,27.39,313.11,2818.00
0.8000,30.43,281.80,2818.00
0.8100,39.12,219.18,2818.00
0.8200,45.64,187.87,2786.69
0.8300,45.64,187.87,2786.69
0.8400,91.29,93.93,5041.10
0.9200,7.40,1158.51,5041.10
1.0100,30.43,281.80,2818.00
1.0200,22.82,375.73,2818.00
1.0300,21.07,407.05,2755.38
1.0400,24.90,344.42,2849.32
1.0800,54.77,156.56,14434.44
1.0900,30.43,281.80,5135.03
1.1000,24.90,344.42,5072.41
1.1100,22.82,375.73,2504.89
1.1200,19.56,438.36,2567.51
1.1300,17.12,500.98,2598.83
1.1400,16.11,532.29,2849.32
1.1500,16.11,532.29,3005.87
1.1600,16.11,532.29,3005.87
1.1700,16.11,532.29,2943.25
1.1800,15.21,563.60,2692.76
1.1900,22.82,375.73,5698.63
1.2000,21.07,407.05,5542.07
1.2100,15.21,563.60,4978.47
1.2200,11.41,751.47,3506.85
1.2300,11.41,751.47,3444.23
1.2400,10.95,782.78,3412.92
1.2500,11.91,720.16,3381.60
1.2600,11.91,720.16,3444.23
1.2700,11.91,720.16,3475.54
1.2800,11.91,720.16,3569.47
1.2900,12.45,688.85,3569.47
1.3000,13.04,657.53,9581.21
1.3100,13.04,657.53,9330.72
1.3200,13.69,626.22,3788.65
1.3300,14.41,594.91,4195.69
1.3400,13.04,657.53,14309.20
1.3600,15.21,563.60,12806.26
1.3700,16.11,532.29,4039.14
1.3800,19.56,438.36,5009.78
1.3900,24.90,344.42,5072.41
1.5200,16.11,532.29,5228.96
1.5300,15.21,563.60,11303.33
1.5400,14.41,594.91,11209.39
1.5500,13.69,626.22,14403.13
1.5600,14.41,594.91,14246.58
1.5800,13.69,626.22,4070.45
1.5900,13.04,657.53,12743.64
1.6000,14.41,594.91,9643.84
1.6600,12.45,688.85,4070.45
1.6700,9.78,876.71,4101.76
1.6800,8.30,1033.27,4508.81
1.6900,7.82,1095.89,3945.21
1.7000,8.30,1033.27,5448.14
1.7100,8.30,1033.27,5354.21
1.7200,8.05,1064.58,5510.76
1.7300,8.56,1001.96,5573.39
1.7400,9.44,908.02,4759.30
1.7500,9.13,939.33,4414.87
1.7600,8.83,970.65,4477.50
1.7700,8.83,970.65,4289.63
1.7800,9.13,939.33,4227.01
1.7900,8.83,970.65,4289.63
1.8000,9.78,876.71,4352.25
1.8100,11.41,751.47,11178.08
1.8200,12.45,688.85,11209.39
1.8300,13.04,657.53,11303.33
1.8400,14.41,594.91,11209.39
1.8600,16.11,532.29,12712.33
1.8800,15.21,563.60,4727.98
1.8900,16.11,532.29,4947.16
1.9000,14.41,594.91,5103.72
1.9100,14.41,594.91,5135.03
1.9200,14.41,594.91,5197.65
1.9300,15.21,563.60,5135.03
1.9400,13.69,626.22,5166.34
1.9500,11.91,720.16,5197.65
1.9600,10.95,782.78,5009.78
1.9700,11.41,751.47,4978.47
1.9800,10.95,782.78,5041.10
1.9900,11.41,751.47,4978.47
2.0000,11.91,720.16,4759.30
2.0400,18.26,469.67,2661.45
2.0500,21.07,407.05,2755.38
2.0600,22.82,375.73,2849.32
2.0700,24.90,344.42,3005.87
2.0800,24.90,344.42,3005.87
2.0900,24.90,344.42,2943.25
2.1000,24.90,344.42,3193.74
2.1100,24.90,344.42,3256.36
2.1200,24.90,344.42,3225.05
2.1300,39.12,219.18,5729.94
2.4400,30.43,281.80,2410.96
2.4500,34.23,250.49,5761.25
2.4600,39.12,219.18,2097.85
2.4700,30.43,281.80,2097.85
2.6700,30.43,281.80,3162.43
2.6800,24.90,344.42,2818.00
2.6900,24.90,344.42,2661.45
2.7000,24.90,344.42,8579.26
2.7100,24.90,344.42,4195.69
2.7400,24.90,344.42,3600.78
2.7500,27.39,313.11,4101.76
2.7600,34.23,250.49,8046.97
2.7700,34.23,250.49,14371.82
2.7800,54.77,156.56,11428.57
2.7900,68.47,125.24,14434.44
2.8000,68.47,125.24,14371.82
2.8100,91.29,93.93,8735.81
2.8300,11.41,751.47,2536.20
2.8400,13.69,626.22,5542.07
2.8500,8.83,970.65,9800.39
2.8600,8.83,970.65,3444.23
2.8700,8.56,1001.96,3350.29
2.8800,8.05,1064.58,3350.29
2.8900,8.05,1064.58,3600.78
2.9000,8.30,1033.27,3005.87
2.9100,8.56,1001.96,5416.83
2.9200,8.83,970.65,5135.03
