Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,15.21,563.60,3788.65
0.1400,45.64,187.87,6230.92
0.2300,21.07,407.05,4383.56
0.2400,54.77,156.56,7326.81
0.3200,18.26,469.67,3444.23
0.3400,34.23,250.49,3632.09
0.5700,14.41,594.91,5260.27
0.5800,14.41,594.91,10301.37
0.5900,13.04,657.53,9393.35
0.6000,14.41,594.91,9205.48
0.6100,24.90,344.42,9424.66
0.6200,27.39,313.11,6763.21
0.6300,27.39,313.11,2755.38
0.6400,27.39,313.11,2880.63
0.6500,21.07,407.05,2880.63
0.6600,18.26,469.67,3099.80
0.6700,16.11,532.29,3131.12
0.6800,15.21,563.60,3131.12
0.6900,16.11,532.29,3005.87
0.7000,17.12,500.98,5604.70
0.7100,18.26,469.67,5667.32
0.7200,17.12,500.98,5886.50
0.7300,19.56,438.36,6105.68
0.7400,21.07,407.05,6168.30
0.7500,21.07,407.05,6262.23
0.7600,21.07,407.05,5667.32
0.7700,21.07,407.05,5385.52
0.7800,19.56,438.36,9455.97
0.7900,19.56,438.36,3068.49
0.8000,19.56,438.36,2911.94
0.8100,27.39,313.11,9142.86
0.8700,39.12,219.18,8297.46
0.8800,34.23,250.49,8829.75
0.9500,39.12,219.18,6043.05
1.0100,30.43,281.80,9549.90
1.0200,34.23,250.49,9643.84
1.0300,34.23,250.49,3538.16
1.0400,30.43,281.80,3757.34
1.0500,30.43,281.80,3851.27
1.0600,34.23,250.49,3882.58
1.0700,34.23,250.49,3788.65
1.0800,34.23,250.49,5542.07
1.1100,68.47,125.24,8547.95
1.1200,91.29,93.93,11553.82
1.1500,45.64,187.87,5823.87
1.1600,39.12,219.18,2567.51
1.1700,39.12,219.18,6888.45
1.1800,39.12,219.18,6199.61
1.1900,54.77,156.56,5604.70
1.2000,68.47,125.24,5542.07
1.2100,39.12,219.18,5698.63
1.2200,14.41,594.91,7953.03
1.2300,10.53,814.09,7733.86
1.2400,9.78,876.71,9205.48
1.2500,10.95,782.78,8422.70
1.2900,18.26,469.67,4289.63
1.3000,15.21,563.60,9831.70
1.3100,17.12,500.98,9643.84
1.3200,24.90,344.42,9362.04
1.3300,34.23,250.49,9455.97
1.3400,34.23,250.49,8892.37
1.3500,39.12,219.18,8610.57
1.3800,34.23,250.49,9048.92
1.3900,22.82,375.73,5949.12
1.4000,19.56,438.36,6262.23
1.4100,19.56,438.36,6230.92
1.4200,19.56,438.36,5886.50
1.4300,21.07,407.05,5792.56
1.4400,22.82,375.73,6324.85
1.4500,24.90,344.42,6481.41
1.4600,30.43,281.80,6387.48
1.4700,34.23,250.49,6136.99
1.4800,39.12,219.18,6043.05
1.4900,45.64,187.87,5792.56
1.5000,30.43,281.80,9362.04
1.5100,22.82,375.73,5197.65
1.5200,21.07,407.05,5103.72
1.5300,19.56,438.36,4821.92
1.5400,18.26,469.67,4759.30
1.5500,17.12,500.98,5041.10
1.5600,17.12,500.98,5072.41
1.5700,18.26,469.67,4978.47
1.5800,21.07,407.05,9268.10
1.5900,24.90,344.42,2692.76
1.6300,54.77,156.56,3225.05
1.6500,68.47,125.24,8203.52
1.6600,39.12,219.18,2911.94
1.6700,39.12,219.18,3162.43
1.6800,91.29,93.93,5072.41
1.7100,54.77,156.56,5072.41
1.7200,39.12,219.18,5166.34
1.7300,39.12,219.18,9737.77
1.9100,68.47,125.24,5322.90
1.9700,91.29,93.93,9111.55
1.9800,39.12,219.18,9142.86
1.9900,27.39,313.11,5604.70
2.0000,27.39,313.11,5448.14
2.0100,27.39,313.11,5448.14
2.0200,27.39,313.11,5542.07
2.0300,30.43,281.80,5228.96
2.0400,27.39,313.11,5135.03
2.0500,30.43,281.80,5197.65
2.0600,30.43,281.80,5135.03
2.0700,34.23,250.49,5166.34
2.0800,39.12,219.18,5385.52
2.0900,45.64,187.87,9048.92
2.1000,54.77,156.56,8892.37
2.1100,45.64,187.87,8735.81
2.1200,39.12,219.18,8234.83
2.1300,45.64,187.87,8422.70
2.1400,68.47,125.24,8266.14
2.1600,45.64,187.87,8610.57
2.1700,39.12,219.18,8579.26
2.1800,45.64,187.87,8673.19
2.1900,45.64,187.87,8798.43
2.2000,39.12,219.18,8861.06
2.2100,39.12,219.18,8673.19
