Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,7.94,1080.23,4461.84
0.1600,7.30,1174.17,5448.14
0.1700,7.30,1174.17,5260.27
0.4400,14.04,610.57,5542.07
0.4700,22.82,375.73,7843.44
0.4800,22.82,375.73,21604.70
0.4900,26.08,328.77,21463.80
0.5000,26.08,328.77,21557.73
0.5100,45.64,187.87,21557.73
0.5600,36.52,234.83,17189.82
0.5700,30.43,281.80,17095.89
0.5800,26.08,328.77,16954.99
0.5900,91.29,93.93,17142.86
0.7600,26.08,328.77,5354.21
0.9300,36.52,234.83,12164.38
1.0600,36.52,234.83,21557.73
1.0700,30.43,281.80,21557.73
1.2900,30.43,281.80,4978.47
1.3000,13.04,657.53,4884.54
1.3100,15.21,563.60,10567.51
1.3200,15.21,563.60,19256.36
1.3300,15.21,563.60,14700.59
1.3600,15.21,563.60,14888.45
1.3700,15.21,563.60,19350.29
1.4000,13.04,657.53,19350.29
1.4100,13.04,657.53,15029.35
1.4200,16.60,516.63,15076.32
1.4900,36.52,234.83,19209.39
1.5000,36.52,234.83,21416.83
1.5100,60.86,140.90,17142.86
1.6100,45.64,187.87,21651.66
1.6300,14.04,610.57,10473.58
1.6400,12.17,704.50,10661.45
1.6900,12.17,704.50,19444.23
1.7000,12.17,704.50,14794.52
1.7400,16.60,516.63,19350.29
1.7500,91.29,93.93,19397.26
1.7800,91.29,93.93,21604.70
1.7900,36.52,234.83,21651.66
1.8100,30.43,281.80,21651.66
1.8400,91.29,93.93,17095.89
1.8500,26.08,328.77,12774.95
1.8600,26.08,328.77,12727.98
1.8700,26.08,328.77,17236.79
1.8800,30.43,281.80,17189.82
1.8900,30.43,281.80,17142.86
1.9000,22.82,375.73,17142.86
1.9300,26.08,328.77,17189.82
1.9400,20.29,422.70,12681.02
1.9500,20.29,422.70,17142.86
1.9600,20.29,422.70,21463.80
1.9700,18.26,469.67,21698.63
1.9800,20.29,422.70,21557.73
2.0600,7.61,1127.20,14935.42
2.0700,14.04,610.57,14794.52
2.1300,26.08,328.77,21557.73
2.1400,20.29,422.70,21651.66
2.1500,20.29,422.70,21557.73
2.1700,22.82,375.73,21651.66
2.1800,26.08,328.77,17189.82
2.1900,36.52,234.83,17189.82
2.3700,36.52,234.83,4555.77
2.3800,20.29,422.70,3945.21
2.4200,18.26,469.67,21557.73
2.4300,18.26,469.67,16954.99
2.4400,18.26,469.67,21651.66
2.4500,16.60,516.63,21510.76
2.4600,18.26,469.67,14418.79
2.6900,20.29,422.70,4743.64
2.7000,18.26,469.67,8454.01
2.7100,16.60,516.63,12915.85
2.7200,18.26,469.67,17236.79
2.7300,18.26,469.67,21651.66
2.7400,18.26,469.67,21275.93
2.7800,16.60,516.63,13056.75
2.7900,16.60,516.63,9064.58
2.8000,16.60,516.63,5542.07
2.8100,16.60,516.63,5589.04
2.8200,18.26,469.67,21651.66
2.8400,15.21,563.60,21698.63
2.8500,15.21,563.60,21698.63
2.8700,15.21,563.60,19115.46
2.9100,18.26,469.67,21369.86
2.9200,18.26,469.67,17283.76
2.9300,22.82,375.73,17236.79
2.9400,30.43,281.80,21510.76
2.9800,22.82,375.73,14183.95
2.9900,20.29,422.70,13291.59
3.0000,18.26,469.67,17001.96
3.0200,18.26,469.67,17236.79
3.0300,18.26,469.67,17330.72
3.0400,18.26,469.67,17283.76
3.0500,18.26,469.67,17048.92
3.0600,18.26,469.67,17330.72
3.0700,30.43,281.80,17236.79
3.0800,36.52,234.83,17142.86
3.0900,22.82,375.73,17142.86
3.1000,20.29,422.70,21041.10
3.3500,9.13,939.33,4884.54
