Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.6900,8.69,986.30,7232.88
0.7200,8.30,1033.27,6763.21
0.7300,7.30,1174.17,6716.24
0.7400,7.94,1080.23,6763.21
1.1000,36.52,234.83,7091.98
1.4900,26.08,328.77,17283.76
1.5000,20.29,422.70,12493.15
1.5100,18.26,469.67,12821.92
1.5200,16.60,516.63,12868.88
1.5300,15.21,563.60,12681.02
1.5400,15.21,563.60,12446.18
1.5500,15.21,563.60,21510.76
1.5600,14.04,610.57,21651.66
1.5900,11.41,751.47,19256.36
1.6000,8.69,986.30,10379.65
1.6100,9.13,939.33,10567.51
1.6900,91.29,93.93,5729.94
2.0500,45.64,187.87,6716.24
2.4800,60.86,140.90,21604.70
2.4900,60.86,140.90,16814.09
2.7000,45.64,187.87,8031.31
2.7100,60.86,140.90,7984.34
2.7200,45.64,187.87,8313.11
2.7300,36.52,234.83,8454.01
2.7400,36.52,234.83,7984.34
2.7500,30.43,281.80,7796.48
2.9700,91.29,93.93,8266.14
3.1200,36.52,234.83,6951.08
3.1300,30.43,281.80,12681.02
3.1400,30.43,281.80,12868.88
3.3700,9.61,892.37,5213.31
3.4600,60.86,140.90,5166.34
