Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.8600,9.44,908.02,4258.32
0.8700,11.41,751.47,5604.70
0.8800,17.12,500.98,3819.96
0.8900,13.69,626.22,1690.80
0.9000,13.69,626.22,1847.36
0.9500,8.56,1001.96,9737.77
1.0200,24.90,344.42,5792.56
1.0300,21.07,407.05,3569.47
1.0400,16.11,532.29,3851.27
1.0500,27.39,313.11,5698.63
1.0700,9.44,908.02,5698.63
1.0800,8.05,1064.58,5698.63
1.0900,7.40,1158.51,5729.94
1.1000,8.83,970.65,5698.63
1.1100,18.26,469.67,5228.96
1.1400,13.04,657.53,4602.74
1.1500,11.91,720.16,4508.81
1.1600,11.91,720.16,4383.56
1.1700,13.04,657.53,4352.25
1.1800,27.39,313.11,4289.63
1.2100,22.82,375.73,4164.38
1.2200,19.56,438.36,4133.07
1.2300,19.56,438.36,3663.41
1.2400,21.07,407.05,3600.78
1.2500,18.26,469.67,3569.47
1.2800,7.61,1127.20,4947.16
1.2900,7.82,1095.89,5009.78
1.3000,8.56,1001.96,4884.54
1.3200,10.95,782.78,4759.30
1.3300,10.14,845.40,4821.92
1.3500,8.83,970.65,14152.64
1.3600,8.56,1001.96,4195.69
1.3700,8.56,1001.96,4101.76
1.3800,8.83,970.65,4039.14
1.3900,8.56,1001.96,3976.52
1.4000,8.05,1064.58,3757.34
1.5000,16.11,532.29,5416.83
1.5100,13.69,626.22,5636.01
1.5200,11.91,720.16,8485.32
1.5300,9.78,876.71,11428.57
1.5400,8.83,970.65,14371.82
1.5500,7.82,1095.89,7733.86
1.5600,9.13,939.33,3663.41
1.5700,8.05,1064.58,3945.21
1.5800,8.05,1064.58,4101.76
1.5900,8.56,1001.96,4133.07
1.6000,9.13,939.33,4164.38
1.6100,9.44,908.02,4164.38
1.6200,9.78,876.71,4258.32
1.6300,10.95,782.78,4227.01
1.6400,11.91,720.16,4289.63
1.6500,11.91,720.16,4383.56
1.6600,13.04,657.53,4414.87
1.6700,14.41,594.91,4352.25
1.6800,16.11,532.29,4352.25
1.6900,17.12,500.98,4320.94
1.7000,24.90,344.42,4039.14
1.7200,34.23,250.49,9863.01
1.7400,13.04,657.53,7013.70
1.7500,11.91,720.16,9956.95
1.7600,10.95,782.78,4101.76
1.7700,11.91,720.16,4477.50
1.7800,11.91,720.16,4602.74
1.7900,11.41,751.47,4070.45
1.8100,8.83,970.65,3600.78
1.8200,10.14,845.40,8140.90
1.8300,11.41,751.47,12712.33
1.8500,9.44,908.02,12931.51
1.8600,9.13,939.33,7045.01
1.8700,9.13,939.33,3663.41
1.8800,9.44,908.02,3569.47
1.8900,9.44,908.02,6888.45
1.9000,9.78,876.71,6888.45
1.9100,10.14,845.40,6700.59
1.9300,10.53,814.09,14215.26
1.9400,8.83,970.65,9956.95
1.9500,9.13,939.33,3569.47
