Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,14.04,610.57,3475.54
0.3800,36.52,234.83,21604.70
0.4200,8.30,1033.27,21792.56
0.6400,7.61,1127.20,4602.74
0.7900,20.29,422.70,5964.77
1.0600,15.21,563.60,21416.83
1.0700,16.60,516.63,15123.29
1.1600,22.82,375.73,5729.94
1.2700,30.43,281.80,21135.03
1.2800,26.08,328.77,16908.02
1.2900,22.82,375.73,21651.66
1.3000,20.29,422.70,21651.66
1.3100,20.29,422.70,21651.66
1.3200,30.43,281.80,21463.80
1.4000,20.29,422.70,9017.61
1.4100,18.26,469.67,5213.31
1.5500,30.43,281.80,3710.37
3.1100,30.43,281.80,4039.14
3.1200,60.86,140.90,17189.82
3.1300,30.43,281.80,17001.96
3.1400,26.08,328.77,21651.66
3.1500,22.82,375.73,10144.81
3.1600,22.82,375.73,9909.98
3.1700,20.29,422.70,9534.25
3.1800,20.29,422.70,21604.70
3.1900,22.82,375.73,20900.20
3.2000,22.82,375.73,8594.91
3.2100,22.82,375.73,17283.76
3.2200,22.82,375.73,21698.63
3.2400,20.29,422.70,9722.11
3.2800,60.86,140.90,19021.53
3.2900,16.60,516.63,19350.29
3.3000,14.04,610.57,9205.48
3.3100,14.04,610.57,6199.61
3.3200,16.60,516.63,6058.71
3.3700,26.08,328.77,21416.83
3.3800,30.43,281.80,21463.80
3.3900,36.52,234.83,21088.06
3.4000,91.29,93.93,7937.38
4.0000,36.52,234.83,19256.36
4.0200,7.30,1174.17,15076.32
