Time (s),Vocal Tract Length (cm),f1 (Hz),f2 (Hz)
0.0000,9.13,939.33,4039.14
0.1100,15.21,563.60,3898.24
0.1900,10.14,845.40,16015.66
0.2800,7.61,1127.20,4227.01
0.3200,16.60,516.63,3193.74
0.3300,11.41,751.47,3287.67
0.3900,10.14,845.40,21275.93
0.4000,10.74,798.43,21275.93
0.4600,10.14,845.40,4086.11
0.4700,13.04,657.53,5354.21
0.5200,16.60,516.63,4227.01
0.5300,13.04,657.53,4461.84
0.5400,13.04,657.53,4649.71
0.5700,36.52,234.83,17001.96
0.5800,36.52,234.83,17048.92
0.6100,91.29,93.93,17095.89
0.6200,45.64,187.87,17001.96
0.6300,26.08,328.77,16954.99
0.6400,26.08,328.77,21651.66
0.6500,30.43,281.80,21369.86
1.5300,8.69,986.30,2677.10
1.5400,13.04,657.53,2583.17
1.9400,30.43,281.80,2583.17
1.9700,22.82,375.73,8313.11
1.9900,45.64,187.87,2864.97
2.0000,60.86,140.90,2911.94
3.1700,9.61,892.37,18927.59
3.1800,9.61,892.37,10191.78
3.1900,10.14,845.40,10144.81
3.2500,18.26,469.67,2958.90
3.2600,10.14,845.40,3005.87
